File_Path,File_Type,Bin_Category,Purpose_Rationale,Format,Priority_Score
01_Video_Footage/A-Roll/Replay 2026-02-09-06-59.mp4,Video,Video - A-Roll,Primary on-camera footage or main video content for the project,.mp4,5
01_Video_Footage/Screen_Capture/screencapture10+Replay 2026-02-09-19-56.mp4,Video,Video - Screen Capture,Screen recording demonstration #102026020919564 - essential B-roll footage showing software/process,.mp4,5
01_Video_Footage/Screen_Capture/screencapture2_feb2.mov,Video,Video - Screen Capture,Screen recording demonstration #2 - essential B-roll footage showing software/process,.mov,5
01_Video_Footage/Screen_Capture/screencapture2_feb2_v2.mov,Video,Video - Screen Capture,Screen recording demonstration #2 - essential B-roll footage showing software/process,.mov,5
01_Video_Footage/Screen_Capture/screencapture3_feb2_Replay 2026-02-09-17-48.mp4,Video,Video - Screen Capture,Screen recording demonstration #3 - essential B-roll footage showing software/process,.mp4,5
01_Video_Footage/Screen_Capture/screencapture3_feb2_s3.mov,Video,Video - Screen Capture,Screen recording demonstration #3 - essential B-roll footage showing software/process,.mov,5
01_Video_Footage/Screen_Capture/screencapture4_feb2_Replay 2026-02-09-18-01.mp4,Video,Video - Screen Capture,Screen recording demonstration #4 - essential B-roll footage showing software/process,.mp4,5
01_Video_Footage/Screen_Capture/screencapture5_feb2_Replay 2026-02-09-18-08.mp4,Video,Video - Screen Capture,Screen recording demonstration #5 - essential B-roll footage showing software/process,.mp4,5
01_Video_Footage/Screen_Capture/screencapture6_feb2_Replay 2026-02-09-18-18.mp4,Video,Video - Screen Capture,Screen recording demonstration #6 - essential B-roll footage showing software/process,.mp4,5
01_Video_Footage/Screen_Capture/screencapture7_feb2_Replay 2026-02-09-18-26.mp4,Video,Video - Screen Capture,Screen recording demonstration #7 - essential B-roll footage showing software/process,.mp4,5
01_Video_Footage/Screen_Capture/screencapture8_feb2_Replay 2026-02-09-18-31.mp4,Video,Video - Screen Capture,Screen recording demonstration #8 - essential B-roll footage showing software/process,.mp4,5
01_Video_Footage/Screen_Capture/screencapture9_Replay 2026-02-09-19-39.mp4,Video,Video - Screen Capture,Screen recording demonstration #9 - essential B-roll footage showing software/process,.mp4,5
04_Text/Subtitles/source_subtitle.srt,Subtitle,Text - Subtitles,Source subtitle file - primary subtitle track for video accessibility,.srt,5
02_Audio/Music/ambient_digital_space.wav,Audio,Audio - Music,Ambient background music track for creating atmospheric tone during specific scenes,.wav,4
02_Audio/Music/ambient_futuristic_city.wav,Audio,Audio - Music,Ambient background music track for creating atmospheric tone during specific scenes,.wav,4
02_Audio/Music/ambient_tech_office.wav,Audio,Audio - Music,Ambient background music track for creating atmospheric tone during specific scenes,.wav,4
02_Audio/Music/sfx_error_beep.wav,Audio,Audio - Music,Sound effect: error beep - for transitions and UI feedback,.wav,4
02_Audio/Music/sfx_impact_hit.wav,Audio,Audio - Music,Sound effect: impact hit - for transitions and UI feedback,.wav,4
02_Audio/Music/sfx_riser_buildup.wav,Audio,Audio - Music,Sound effect: riser buildup - for transitions and UI feedback,.wav,4
02_Audio/Music/sfx_success_chime.wav,Audio,Audio - Music,Sound effect: success chime - for transitions and UI feedback,.wav,4
02_Audio/Music/sfx_tech_beep.wav,Audio,Audio - Music,Sound effect: tech beep - for transitions and UI feedback,.wav,4
02_Audio/Music/sfx_typing_sequence.wav,Audio,Audio - Music,Sound effect: typing sequence - for transitions and UI feedback,.wav,4
02_Audio/Music/sfx_ui_click.wav,Audio,Audio - Music,Sound effect: ui click - for transitions and UI feedback,.wav,4
02_Audio/Music/sfx_whoosh_transition.wav,Audio,Audio - Music,Sound effect: whoosh transition - for transitions and UI feedback,.wav,4
02_Audio/Music/track_01_opening_theme.wav,Audio,Audio - Music,Main music track #01 - Opening Theme,.wav,4
02_Audio/Music/track_02_transformation.wav,Audio,Audio - Music,Main music track #02 - Transformation,.wav,4
02_Audio/Music/track_03_innovation.wav,Audio,Audio - Music,Main music track #03 - Innovation,.wav,4
02_Audio/Music/track_04_tech_ecosystem.wav,Audio,Audio - Music,Main music track #04 - Tech Ecosystem,.wav,4
02_Audio/Music/track_05_the_feast.wav,Audio,Audio - Music,Main music track #05 - The Feast,.wav,4
05_PreProduction/Scripts_EDL/source_edl.md,Document,PreProduction - Scripts/EDL,Edit Decision List (EDL) markdown - defines cut order and timing,.md,4
05_PreProduction/Scripts_EDL/source_transcript.md,Document,PreProduction - Scripts/EDL,Full transcript of video narration/dialogue,.md,4
06_PostProduction_Assets/Manim_Animations/output/videos/video_animations/1080p60/CICDPipelineAnimation.mp4,Video,Animation - Video Output,CI/CD pipeline animation - visualizes deployment workflow,.mp4,4
06_PostProduction_Assets/Manim_Animations/output/videos/video_animations/1080p60/GitCloneAnimation.mp4,Video,Animation - Video Output,Git clone workflow animation - demonstrates version control process,.mp4,4
06_PostProduction_Assets/Manim_Animations/output/videos/video_animations/1080p60/LLMFeatureCardsAnimation.mp4,Video,Animation - Video Output,LLM feature comparison cards animation - shows AI model capabilities,.mp4,4
06_PostProduction_Assets/Manim_Animations/output/videos/video_animations/1080p60/NumberCounterAnimation.mp4,Video,Animation - Video Output,Animated number counter - displays counting/statistics animation,.mp4,4
06_PostProduction_Assets/Manim_Animations/output/videos/video_animations/1080p60/SpeedMultiplierAnimation.mp4,Video,Animation - Video Output,Speed multiplier animation - visualizes performance improvements,.mp4,4
06_PostProduction_Assets/Manim_Animations/output/videos/video_animations/1080p60/StaticVsDynamicAnimation.mp4,Video,Animation - Video Output,Static vs Dynamic comparison animation - illustrates workflow differences,.mp4,4
03_Graphics/Lower_Thirds/000_3d_ai_brain_feast_20260213_v1_texture.png,Image,Graphics - Lower Thirds,3D rendered object: Ai Brain Feast 20260213 V1 - visual metaphor for video segment,.png,3
03_Graphics/Lower_Thirds/000_3d_automation_gear_20260213_v1_texture.png,Image,Graphics - Lower Thirds,3D rendered object: Automation Gear 20260213 V1 - visual metaphor for video segment,.png,3
03_Graphics/Lower_Thirds/000_3d_compass_pivot_20260213_v1_texture.png,Image,Graphics - Lower Thirds,3D rendered object: Compass Pivot 20260213 V1 - visual metaphor for video segment,.png,3
03_Graphics/Lower_Thirds/000_3d_free_tier_toolbox_20260213_v1_texture.png,Image,Graphics - Lower Thirds,3D rendered object: Free Tier Toolbox 20260213 V1 - visual metaphor for video segment,.png,3
03_Graphics/Lower_Thirds/000_3d_futuristic_city_20260213_v1_texture.png,Image,Graphics - Lower Thirds,3D rendered object: Futuristic City 20260213 V1 - visual metaphor for video segment,.png,3
03_Graphics/Lower_Thirds/000_3d_golden_microphone_20260213_v1_texture.png,Image,Graphics - Lower Thirds,3D rendered object: Golden Microphone 20260213 V1 - visual metaphor for video segment,.png,3
03_Graphics/Lower_Thirds/000_3d_internet_kill_switch_20260213_v1_texture.png,Image,Graphics - Lower Thirds,3D rendered object: Internet Kill Switch 20260213 V1 - visual metaphor for video segment,.png,3
03_Graphics/Lower_Thirds/000_3d_laptop_terminal_20260213_v1_texture.png,Image,Graphics - Lower Thirds,3D rendered object: Laptop Terminal 20260213 V1 - visual metaphor for video segment,.png,3
03_Graphics/Lower_Thirds/000_3d_mercury_liquid_figure_20260213_v1_texture.png,Image,Graphics - Lower Thirds,3D rendered object: Mercury Liquid Figure 20260213 V1 - visual metaphor for video segment,.png,3
03_Graphics/Lower_Thirds/000_3d_rocket_cicd_20260213_v1_texture.png,Image,Graphics - Lower Thirds,3D rendered object: Rocket Cicd 20260213 V1 - visual metaphor for video segment,.png,3
03_Graphics/Lower_Thirds/001_anime_frame_1_opening_the_heavy_mic_20260213_v1.png,Image,Graphics - Lower Thirds,Anime-style illustration frame # - 1 opening the heavy mic 20260213 v1,.png,3
03_Graphics/Lower_Thirds/002_anime_frame_2_the_pivot_20260213_v1.png,Image,Graphics - Lower Thirds,Anime-style illustration frame # - 2 the pivot 20260213 v1,.png,3
03_Graphics/Lower_Thirds/003_anime_frame_3_statues_vs_mercury_20260213_v1.png,Image,Graphics - Lower Thirds,Anime-style illustration frame # - 3 statues vs mercury 20260213 v1,.png,3
03_Graphics/Lower_Thirds/004_anime_frame_4_the_clone_lab_20260213_v1.png,Image,Graphics - Lower Thirds,Anime-style illustration frame # - 4 the clone lab 20260213 v1,.png,3
03_Graphics/Lower_Thirds/005_anime_frame_5_the_evolution_20260213_v1.png,Image,Graphics - Lower Thirds,Anime-style illustration frame # - 5 the evolution 20260213 v1,.png,3
03_Graphics/Lower_Thirds/006_anime_frame_6_the_nursery_20260213_v1.png,Image,Graphics - Lower Thirds,Anime-style illustration frame # - 6 the nursery 20260213 v1,.png,3
03_Graphics/Lower_Thirds/007_anime_frame_7_the_crystal_ball_20260213_v1.png,Image,Graphics - Lower Thirds,Anime-style illustration frame # - 7 the crystal ball 20260213 v1,.png,3
03_Graphics/Lower_Thirds/008_anime_frame_8_the_engine_room_20260213_v1.png,Image,Graphics - Lower Thirds,Anime-style illustration frame # - 8 the engine room 20260213 v1,.png,3
03_Graphics/Lower_Thirds/009_anime_frame_9_the_digital_feast_20260213_v1.png,Image,Graphics - Lower Thirds,Anime-style illustration frame # - 9 the digital feast 20260213 v1,.png,3
03_Graphics/Lower_Thirds/010_anime_frame_10_the_power_station_20260213_v1.png,Image,Graphics - Lower Thirds,Anime-style illustration frame # - 10 the power station 20260213 v1,.png,3
03_Graphics/Lower_Thirds/011_anime_frame_11_the_tool_shed_20260213_v1.png,Image,Graphics - Lower Thirds,Anime-style illustration frame # - 11 the tool shed 20260213 v1,.png,3
03_Graphics/Lower_Thirds/012_anime_frame_12_the_balcony_20260213_v1.png,Image,Graphics - Lower Thirds,Anime-style illustration frame # - 12 the balcony 20260213 v1,.png,3
03_Graphics/Lower_Thirds/bg_01_heavy_mic_20260213_203750.png,Image,Graphics - Lower Thirds,Background image for scene 01: heavy mic 20260213 203750,.png,3
03_Graphics/Lower_Thirds/bg_02_pivot_20260213_203750.png,Image,Graphics - Lower Thirds,Background image for scene 02: pivot 20260213 203750,.png,3
03_Graphics/Lower_Thirds/bg_03a_statues_20260213_203750.png,Image,Graphics - Lower Thirds,Background image for scene 03a: statues 20260213 203750,.png,3
03_Graphics/Lower_Thirds/bg_03b_mercury_20260213_203750.png,Image,Graphics - Lower Thirds,Background image for scene 03b: mercury 20260213 203750,.png,3
03_Graphics/Lower_Thirds/bg_04_clone_lab_20260213_203750.png,Image,Graphics - Lower Thirds,Background image for scene 04: clone lab 20260213 203750,.png,3
03_Graphics/Lower_Thirds/bg_05_evolution_20260213_203750.png,Image,Graphics - Lower Thirds,Background image for scene 05: evolution 20260213 203750,.png,3
03_Graphics/Lower_Thirds/bg_06_nursery_20260213_203750.png,Image,Graphics - Lower Thirds,Background image for scene 06: nursery 20260213 203750,.png,3
03_Graphics/Lower_Thirds/bg_07_crystal_ball_20260213_203750.png,Image,Graphics - Lower Thirds,Background image for scene 07: crystal ball 20260213 203750,.png,3
03_Graphics/Lower_Thirds/bg_08_engine_room_20260213_203750.png,Image,Graphics - Lower Thirds,Background image for scene 08: engine room 20260213 203750,.png,3
03_Graphics/Lower_Thirds/bg_09_digital_feast_20260213_203750.png,Image,Graphics - Lower Thirds,Background image for scene 09: digital feast 20260213 203750,.png,3
03_Graphics/Lower_Thirds/bg_10_power_station_20260213_203750.png,Image,Graphics - Lower Thirds,Background image for scene 10: power station 20260213 203750,.png,3
03_Graphics/Lower_Thirds/bg_11_tool_shed_20260213_203750.png,Image,Graphics - Lower Thirds,Background image for scene 11: tool shed 20260213 203750,.png,3
03_Graphics/Lower_Thirds/bg_12_balcony_20260213_203750.png,Image,Graphics - Lower Thirds,Background image for scene 12: balcony 20260213 203750,.png,3
03_Graphics/Lower_Thirds/chapter_01_introduction.png,Image,Graphics - Lower Thirds,Chapter marker #01: Introduction,.png,3
03_Graphics/Lower_Thirds/chapter_02_background.png,Image,Graphics - Lower Thirds,Chapter marker #02: Background,.png,3
03_Graphics/Lower_Thirds/chapter_03_core_concepts.png,Image,Graphics - Lower Thirds,Chapter marker #03: Core Concepts,.png,3
03_Graphics/Lower_Thirds/chapter_04_workflow_architecture.png,Image,Graphics - Lower Thirds,Chapter marker #04: Workflow Architecture,.png,3
03_Graphics/Lower_Thirds/chapter_05_implementation.png,Image,Graphics - Lower Thirds,Chapter marker #05: Implementation,.png,3
03_Graphics/Lower_Thirds/chapter_06_automation_strategies.png,Image,Graphics - Lower Thirds,Chapter marker #06: Automation Strategies,.png,3
03_Graphics/Lower_Thirds/chapter_07_integration.png,Image,Graphics - Lower Thirds,Chapter marker #07: Integration,.png,3
03_Graphics/Lower_Thirds/chapter_08_monitoring_and_analytics.png,Image,Graphics - Lower Thirds,Chapter marker #08: Monitoring And Analytics,.png,3
03_Graphics/Lower_Thirds/chapter_09_scaling_challenges.png,Image,Graphics - Lower Thirds,Chapter marker #09: Scaling Challenges,.png,3
03_Graphics/Lower_Thirds/chapter_10_future_directions.png,Image,Graphics - Lower Thirds,Chapter marker #10: Future Directions,.png,3
03_Graphics/Lower_Thirds/chapter_11_case_studies.png,Image,Graphics - Lower Thirds,Chapter marker #11: Case Studies,.png,3
03_Graphics/Lower_Thirds/chapter_12_advanced_topics.png,Image,Graphics - Lower Thirds,Chapter marker #12: Advanced Topics,.png,3
03_Graphics/Lower_Thirds/chapter_13_best_practices.png,Image,Graphics - Lower Thirds,Chapter marker #13: Best Practices,.png,3
03_Graphics/Lower_Thirds/chapter_14_troubleshooting.png,Image,Graphics - Lower Thirds,Chapter marker #14: Troubleshooting,.png,3
03_Graphics/Lower_Thirds/chapter_15_conclusion.png,Image,Graphics - Lower Thirds,Chapter marker #15: Conclusion,.png,3
03_Graphics/Lower_Thirds/dg_01_golden_mic_hierarchy_20260213_211013.png,Image,Graphics - Lower Thirds,Diagram/graphic #01: golden mic hierarchy 20260213 211013,.png,3
03_Graphics/Lower_Thirds/dg_02_240_workflow_architecture_20260213_211013.png,Image,Graphics - Lower Thirds,Diagram/graphic #02: 240 workflow architecture 20260213 211013,.png,3
03_Graphics/Lower_Thirds/dg_03_static_vs_dynamic_flow_20260213_211013.png,Image,Graphics - Lower Thirds,Diagram/graphic #03: static vs dynamic flow 20260213 211013,.png,3
03_Graphics/Lower_Thirds/dg_04_git_clone_sequence_20260213_211013.png,Image,Graphics - Lower Thirds,Diagram/graphic #04: git clone sequence 20260213 211013,.png,3
03_Graphics/Lower_Thirds/dg_05_tool_evolution_timeline_20260213_211013.png,Image,Graphics - Lower Thirds,Diagram/graphic #05: tool evolution timeline 20260213 211013,.png,3
03_Graphics/Lower_Thirds/dg_06_internet_kill_switch_flow_20260213_211013.png,Image,Graphics - Lower Thirds,Diagram/graphic #06: internet kill switch flow 20260213 211013,.png,3
03_Graphics/Lower_Thirds/dg_07_tech_platform_comparison_20260213_211013.png,Image,Graphics - Lower Thirds,Diagram/graphic #07: tech platform comparison 20260213 211013,.png,3
03_Graphics/Lower_Thirds/dg_08_speed_benchmark_chart_20260213_211013.png,Image,Graphics - Lower Thirds,Diagram/graphic #08: speed benchmark chart 20260213 211013,.png,3
03_Graphics/Lower_Thirds/dg_09_llm_comparison_matrix_20260213_211013.png,Image,Graphics - Lower Thirds,Diagram/graphic #09: llm comparison matrix 20260213 211013,.png,3
03_Graphics/Lower_Thirds/dg_10_n8n_automation_flow_20260213_211013.png,Image,Graphics - Lower Thirds,Diagram/graphic #10: n8n automation flow 20260213 211013,.png,3
03_Graphics/Lower_Thirds/dg_11_cicd_pipeline_diagram_20260213_211013.png,Image,Graphics - Lower Thirds,Diagram/graphic #11: cicd pipeline diagram 20260213 211013,.png,3
03_Graphics/Lower_Thirds/dg_12_journey_roadmap_20260213_211013.png,Image,Graphics - Lower Thirds,Diagram/graphic #12: journey roadmap 20260213 211013,.png,3
05_PreProduction/Scripts_EDL/README.md,Document,PreProduction - Scripts/EDL,Documentation explaining preproduction workflow and file organization,.md,3
05_PreProduction/Scripts_EDL/source_broll.md,Document,PreProduction - Scripts/EDL,B-roll shot list defining supplementary footage needs,.md,3
05_PreProduction/Scripts_EDL/source_graphics.md,Document,PreProduction - Scripts/EDL,Graphics requirements and specifications document,.md,3
05_PreProduction/Scripts_EDL/source_music.md,Document,PreProduction - Scripts/EDL,Music cue sheet defining audio track placement and timing,.md,3
05_PreProduction/Scripts_EDL/source_shotlist.md,Document,PreProduction - Scripts/EDL,Shot list defining each camera angle and scene,.md,3
05_PreProduction/Scripts_EDL/source_storyboard.md,Document,PreProduction - Scripts/EDL,Storyboard describing visual flow and composition,.md,3
02_Audio/Music/000_music_cta_energy_beatoven_fal_v1.mp3,Audio,Audio - Music,AI-generated energetic music for call-to-action segments,.mp3,2
02_Audio/Music/000_music_cta_energy_beatoven_fal_v1.wav,Audio,Audio - Music,AI-generated energetic music for call-to-action segments,.wav,2
02_Audio/Music/000_music_screen_recording_stable_fal_v1.mp3,Audio,Audio - Music,AI-generated stable background music for screen recording segments,.mp3,2
02_Audio/Music/000_music_screen_recording_stable_fal_v1.wav,Audio,Audio - Music,AI-generated stable background music for screen recording segments,.wav,2
02_Audio/Music/000_music_tech_innovation_stable_fal_v1.mp3,Audio,Audio - Music,AI-generated tech/innovation themed background music,.mp3,2
02_Audio/Music/000_music_tech_innovation_stable_fal_v1.wav,Audio,Audio - Music,AI-generated tech/innovation themed background music,.wav,2
02_Audio/Sound_Effects/freesound_721948_Creative_Background_loop_ver3.mp3,Audio,Audio - Sound Effects,Freesound.org sourced sound effect or background music loop,.mp3,2
02_Audio/Sound_Effects/freesound_743366_Blissful_Tranquility.mp3,Audio,Audio - Sound Effects,Freesound.org sourced sound effect or background music loop,.mp3,2
02_Audio/Sound_Effects/freesound_794254_Venture_At_Night_ambient_music_loop.mp3,Audio,Audio - Sound Effects,Freesound.org sourced sound effect or background music loop,.mp3,2
02_Audio/Sound_Effects/track01_match1_621849_Slow_building_synth_Riser_Uplifterwav.mp3,Audio,Audio - Sound Effects,Music match option #1 for track segment 01 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track01_match2_320920_bass_and_cello2WAV.mp3,Audio,Audio - Sound Effects,Music match option #2 for track segment 01 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track01_match3_621289_Orchestral_Score_1_Mastered_WITH_Stereo_Imagingwav.mp3,Audio,Audio - Sound Effects,Music match option #3 for track segment 01 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track02_match1_792393_Intergalactic_V_10_Karthik_Subramany.mp3,Audio,Audio - Sound Effects,Music match option #1 for track segment 02 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track02_match2_721948_Creative_Background_loop_ver3.mp3,Audio,Audio - Sound Effects,Music match option #2 for track segment 02 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track02_match3_569920_Atmospheric_Ambient_Pad_128bpmmp3.mp3,Audio,Audio - Sound Effects,Music match option #3 for track segment 02 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track03_match1_785656_Trailer_Cinematic_1_min.mp3,Audio,Audio - Sound Effects,Music match option #1 for track segment 03 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track03_match2_712587_Paganini_Allegretto_Scherzando_Sonata_No_8_II_MS_8.mp3,Audio,Audio - Sound Effects,Music match option #2 for track segment 03 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track03_match3_789404_Dark_Moody_Rhythmic_Orchestral_Ambient_Music_Obsid.mp3,Audio,Audio - Sound Effects,Music match option #3 for track segment 03 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track04_match1_725595_Tech_Presentations_short_ver.mp3,Audio,Audio - Sound Effects,Music match option #1 for track segment 04 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track04_match2_725594_Tech_Presentations_Media_Corporate_loop_ver2.mp3,Audio,Audio - Sound Effects,Music match option #2 for track segment 04 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track04_match3_731656_Pure_Inspiration_loop_ver2.mp3,Audio,Audio - Sound Effects,Music match option #3 for track segment 04 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track05_match1_607942_Retro_arcade_music_3.mp3,Audio,Audio - Sound Effects,Music match option #1 for track segment 05 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track05_match2_682201_Spooky_Synthwave.mp3,Audio,Audio - Sound Effects,Music match option #2 for track segment 05 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track05_match3_696408_Adventure_theme_9.mp3,Audio,Audio - Sound Effects,Music match option #3 for track segment 05 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track06_match1_368770_8_Bit_Bass_Leadwav.mp3,Audio,Audio - Sound Effects,Music match option #1 for track segment 06 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track06_match1_608667_House_loops_103_simple_mix_down_tempowav.mp3,Audio,Audio - Sound Effects,Music match option #1 for track segment 06 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track06_match2_658342_lush_remix_of_smethngs_freesound658110flac.mp3,Audio,Audio - Sound Effects,Music match option #2 for track segment 06 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track06_match2_744212_Digital_Arpeggio.mp3,Audio,Audio - Sound Effects,Music match option #2 for track segment 06 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track06_match3_704532_Chip_Dance_Tune_128bpm.mp3,Audio,Audio - Sound Effects,Music match option #3 for track segment 06 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track07_match1_792393_Intergalactic_V_10_Karthik_Subramany.mp3,Audio,Audio - Sound Effects,Music match option #1 for track segment 07 - alternative background music choice,.mp3,2
02_Audio/Sound_Effects/track07_match2_704532_Chip_Dance_Tune_128bpm.mp3,Audio,Audio - Sound Effects,Music match option #2 for track segment 07 - alternative background music choice,.mp3,2
